Ms. Ellah Chembe,Zambia National Farmers' Union,Executive Director
Mr. Jeremiah Kasalo,Dairy Association of Zambia,Executive Secretary
Mr. John Ngwenyama,Cotton Association of Zambia,Executive Director
Mr. Phonto Mumbi,Tobacco Association of Zambia,Head Corporate Affairs
Mr. Luke Mbewe,Zambia Export Growers' Association,CEO
Mr. Dunstan Chola,National Union for Small-Scale Farmers of Zambia,Vice President
Dr. Frank Kayula,National Association for Smallholder Farmers,Executive Director
Mr. Dale Lewis,Community Markets for Conservation (COMACO),CEO and Founder
Mr. Mark Muchinga,Sunbird Bioenergy Zambia Limited,Director Agriculture
Ms. Faith Mukutu,Zambeef Products PLC,CEO
Mr. Ezekiel Sekele,Zambeef Products PLC,Executive - Corporate Affairs and Sustainability
Mr. James Chirwa,Zambia Cooperative Federation,Director General
Mr. Fisho Patrick Mwale,Aquaculture Development Association of Zambia,Chairman
Mr. Francis Simutowe,Zambia Honey Council,Executive Director
Mr. Masiye Nawiko,Agricultural Consultative Forum,Executive Director
Ms. Mary Mhango,Agro-Dealers' Association of Zambia,President
Mr. Yotam Mkandawire,Grain Traders' Association of Zambia,Executive Secretary
Mr. Andrew Chintala,Millers' Association of Zambia,President
Mr. Jacob Mwale,Zambia Commodities Exchange (ZAMACE),CEO
Mr. Mara Myra Ngoma,Zambia Federation of Employers,President
Mr. Reuben Banda,Musika Development Alternatives,Managing Director
Mr. Brian Ross,Prospero Zambia Limited,Team Leader
Dr. Herrick Mpuku,Zambia Institute for Policy Analysis and Research,Executive Director
Dr. Joseph Simbaya,Institute of Economic & Social Research,Director
Mr. Makomani Siyanga,Zambia Medicines Regulatory Authority (ZAMRA),Director General
Mr. Dile Anael,Lactalis Zambia,Milk collection management engineer
Dr. Moosa Ameen,Agrivet Africa,Director
Ms. Misozi Ngulube,Water Resource Management Authority,Authority Secretary/Director Legal and Corporate Services
Ms. Maria Zaloumis,Tuzini Farms,Chief Executive Officer
Mr. Mahesh Patel,Empowering Farmers Foundation,Chief Executive Officer
