Mr. Patrick K. Kangwa,Cabinet Office,Secretary to Cabinet
Dr. Oliver M. Kalabo,Cabinet Office,Deputy Secretary to Cabinet - Administration
Mr. Siazongo Siakalenge,Cabinet Office,Deputy Secretary to Cabinet - Finance and Economic Development
Mr. Felix Nkulukusa,Cabinet Office,"Secretary to the Treasury - Ministry of Finance & National Planning"
Ms. Naomi Tetamashimba,Cabinet Office,Permanent Secretary - Special Duties
Mr. Wisdom Bwalya,Cabinet Office,Permanent Secretary - Special Duties
Dr. Mutinta Musonda,Cabinet Office,Permanent Secretary - Administration
Mr. Patrick K. Mucheleka,Cabinet Office,Permanent Secretary - Special Duties
Mr. Chembo Mbula,Cabinet Office,Permanent Secretary - Special Duties
Ms. Mavis Nkomeshya,Cabinet Office,Permanent Secretary - Special Duties
Ms. Mainga Docus Kabika,Cabinet Office,Permanent Secretary - Gender Division
Ms. Margaret B. Miyoba,Cabinet Office,Permanent Secretary - Public Service Management Division
Mr. Bernard J. Kamphasa,Cabinet Office,Permanent Secretary - Policy Analysis and Coordination
Mr. Percy Chinyama ,Cabinet Office - SMART Zambia Institute,National Coordinator
Mr. Givens Muntengwa,Labour Commission,Labour Commissioner
