Liao Zibin,Zambia China Economic and Trade Cooperation Zone Development Limited,Chairman
Song MingMing,Powerchina International/ Synohydro,Representative
Siji Chen,Huawei Technologies Zambia Company Limited,Managing Director
Huang Hongjun,ZTE Zambia Service,CEO
Mr. Jianping Chai,Chilanga Cement Plc,CEO
Mr. Lie Tie,Chinese Chamber of Commerce in Zambia (CCCZ),President 
Luo Zibing,China Civil Engineering Construction Corporation (Zambia) Limited,Deputy General Manager
David Wei,China Jiangxi International Economic & Technical Cooperation Co. LTD,Company Representative
Jiemin Hong,Bank of China Zambia,Acting managing Director
Mr. Daniel Nkandu,Chinese Chamber of Commerce in Zambia,Secretary
Fenghai Lui,Chenguang biotech (Z) Agri-Dev Ltd,Director
Huang Yaochi,Wonderful Group of Companies,CEO
Mr. Jacky Huang ,Good time steel Ltd/ Chinese chamber of commerce,Managing Director
