Mr. Gabriel Mumba,Postal and Courier Association of Zambia,PRESIDENT
Mr. Enock Ngoma,Media Liaison Committee,CHAIRPERSON
Mr. Roy Muyelu,Payments Association of Zambia,CHAIRPERSON
Mr. Zeko Mbumwae,Infratel Zambia Limited,CHIEF INFORMATION OFFICER
Mr. Charles W. Kabuka,IHS Zambia,HEAD OF LEGAL
Mr. Austin Kayanda ,MISA Zambia ,NATIONAL DIRECTOR
Ms. Joan Chirwa,Free Press Initiative ,COORDINATOR
Ms. Mwazi Chanda ,Zambia Media Women Association (ZAMWA),CHAIRPERSON
Mr. Peter Shula ,Zambia Institute of Mass Communication ,EXECUTIVE DIRECTOR
Ms. Jane Chirwa,MISA Zambia ,PROGRAMMES MANAGER
Mr. Barney Harmse,Paratus,EXECUTIVE CHAIRMAN
Mr. Mark Townsend,Liquid Telecom Zambia,CEO
Mr. Jason Mwanza,ZAMTEL ,CTO
Mr. Nang'alelwa Sitwala,Fibrecom Limited (Fibre),MANAGER
Ms. Lillian T. Mutwalo,MTN,MANAGING DIRECTOR
