"Hon. Ambrose Lwiji Lufuma, MP   ",Ministry of Defence   ,Minister
"Hon. Jacob Jack Mwiimbu, MP   ",Ministry of Home Affairs and Internal Security   ,Minister
"Hon. Stanley Kakubo, MP   ",Ministry of Foreign Affairs and International Cooperation   ,Minister
"Hon. Dr. Situmbeko Musokotwane, MP  ",Ministry of Finance and National Planning   ,Minister
"Hon. Reuben R. Phiri Mtolo, MP   ",Ministry of Agriculture  ,Minister
"Hon. Makozo Chikote, MP    ",Ministry of Fisheries and Livestock   ,Minister
"Hon. Chipoka Mulenga, MP   ","Ministry of Commerce, Trade and Industry   ",Minister
"Hon. Elias Mubanga, MP   ",Ministry of Small and Medium Enterprise Development   ,Minister
"Hon. Paul C. Kabuswe, MP   ",Ministry of Mines and Minerals Development   ,Minister
"Hon. Peter Chibwe Kapala, MP  ",Ministry of Energy   ,Minister
"Hon. Rodney Sikumba, MP   ",Ministry of Tourism   ,Minister
"Hon. Frank Tayali, MP   ",Ministry of Transport and Logistics   ,Minister
"Hon. Eng. Charles Milupi, MP  ","Ministry of Infrastructure, Housing and Urban Development  ",Minister
"Hon. Elijah Muchima, MP   ",Ministry of Lands and Natural Resources  ,Minister
"Hon. Mike E. Mposha, MP   ",Ministry of Water Development and Sanitation   ,Minister
"Hon. Collins Nzovu, MP   ",Ministry of Green Economy and Environment    ,Minister
"Hon. Sylvia T. Masebo, MP   ",Ministry of Health   ,Minister
"Hon. Cornelius Mweetwa, MP",Ministry of Information and Media   ,Minister
"Hon. Douglas Siakalima, MP   ",Ministry of Education  ,Minister
"Hon. Felix Mutati, MP  ",Ministry of Technology and Science   ,Minister
"Hon. Gary Nkombo, MP   ",Ministry of Local Government and Rural Development     ,Minister
"Hon. Mulambo Haimbe, MP   ",Ministry Ministry of Justice   ,Minister
"Hon. Brenda Tambatamba, MP   ",Ministry of Labour and Social Security   ,Minister
"Hon. Doreen Mwamba, MP   ",Ministry of Community Development and Social Services   ,Minister
"Hon. Elvis Chishala Nkandu, MP   ","Ministry of Youth, Sport and Arts   ",Minister
"Hon. Sheal S. Mulyata, MP   ",Lusaka Province   ,"Minister - Provincial Minister,"
Her Worship Chilando Chitangala,Lusaka Province   ,Mayor
