Mr. Owen Silavwe,CEC,CEO
Mr. Daniel Nkandu,Chinese Chamber of Commerce in Zambia,Secretary
Mr. Sipho Phiri,Leopards Hill Memorial Park,CEO
Micheal Kroupnik,Micmar Ltd,CEO
Alexander Kroupnik,Micmar Ltd,
Mr.Sugath Asanka,Micmar Ltd,
Giannis Vasilakopoulos,Micmar Ltd,
Mr. Diego Casilli,Yamene Consultancy Services,CEO
Mr. Mark O'Donnell,Union Gold (Zambia) Limited,CEO
Mr. George Allison,Albida Agriculture Limited,CEO
Mr. Krisnan Jawadesh,Astro Holdings,CEO
Mr. Ketan Palmer,Fortune Foods,CEO
Marco Comana,Honda Zambia,CEO
Nicholas Comana,Honda Zambia,Managing Director
Mr. Kenneth Taylor,Southern Cross Motors,CEO
Mr. Ceaser Siwale,Pangaea Holdings Limited,CEO
Mr. Albert Halwampa,ZDA,Director General
Cissy Byenkya,WFP,Regional Director
Ms. Mika Mwambazi Bwembya,USAID- ZAM Health,Chief of Party
Dr. Mwate Chaila,USAID- ZAM Health,
Mr. Kennedy Saini,USAID- ZAM Health,
Dr. Micheal Chanda,USAID- ZAM Health,
Felix Tembo,USAID- ZAM Health,
Lucy Nyondo,USAID- ZAM Health,
Euphrasia Mapulanga,USAID- ZAM Health,
Mwandi Chibwe,USAID- ZAM Health,
Carol Equamo,USAID- ZAM Health,
Justina Phiri,USAID- ZAM Health,
Josphat Bwembya,USAID- ZAM Health,
Dr. Mukuni Matipa,HFZ,
Dr. Antonette Phiri,HFZ,
Dr. Chrispin Moyo,HFZ,
Dr. Abel Mwale,HFZ,
Dr. Bernard Sakala,HFZ,
Dr.Cheswa Vwalika,HFZ,
Mr. Godffrey Shibalwa,HFZ,
Hellen Tembo,,lawyer
Mr. William Daka ,Smart Energy Technologies Limited ,CEO
Mr. Grant Cumings,Chiawa Safaries ,CEO
Mr. Bejoy Nettikadan,Netone IT,CEO & Founder
Mr. Mark Luring,Drake & Gorham ,Managing Director
Ms. Arne Luring,Drake & Gorham ,CEO
Mr. Kowdichar Shashidhar,Indo Zambia Bank,Managing Director
Mr. Chimwemwe Nyirenda,Africast,Managing Director
Mr. Kennedy Mwila,Lusaka Multi Facility Economic Zone,Managing Director
Ms. Ana Hajduka,GreenCo,CEO
Ms. Ana Katarina Hadjuka Shields,Green Co,
Mr.Wezi Gondwe,Green Co,
Eng. Chisha Chisha,Green Co,
Mr. Kasuba Ling'omba,Green Co,
Eng Longo Chellah,Green Co,
Ms.Katongo Eunice Chellah,Green Co,
Ms. Kasweka Konga,Green Co,
Ms. Florence Monde,Green Co,
Mr.Chabuka J Kawesha,PACCI,Vice President
Mr. Kebour GHENNA,PACCI,Executive Director
Ms Wincate MUTHUNI,PACCI,Senior Project Manager
Mr. Simon Bota,MADECO ltd,Board Chairman
Mr. Chongwe Chibawe,MADECO ltd,Director
Mr. Patrick Wanjelani,KUMIL Energy Ltd,CEO
Mr. Plilemon Songolo,KUMIL Energy Ltd,Director
Mr. Chrispin Kapasa,KUMIL Energy Ltd,Operations Manager
Mrs. Suzyo Ndovi-Akatama,Airtel Networks PLc,Director legal and Regulatory Affairs
Mrs. Yuyo Nachali-kambikambi,Airtel Networks PLc,Head Corporate Communications and Government Affairs
Mr.Peter Wiebler,USAID Zambia,Mission Director
Ms. Amy Cunningham,USAID Zambia,Health Office Director
Ms. Yemeserach Megenasa,USAID Zambia,PSE Advisor
Ms . Elizabeth Squire,USAID Zambia,Health Doctor
Dr. Masuku Musumali,USAID Zambia,Family Health Division Chief
Ms Loyce Munthali,USAID Zambia,Family Planning Advisor
Ms. Beena Patel,CHC Commodities,CEO
Ms. Mutumboi Mundia,Prospero,CEO
Ms.Verona Mwila,CEC,Head Communication
Mr.Charlie Troughton,Mphepo Energy Ltd,Director
Dr. Pius Kasolo,Greenco Zambia Ltd,Director
Mr.Aaron Nyirenda,Lufubu Power,Project Manager
Mr.Mutale Mukuka,CEC,CFO
Mr.Tom Younger,Western Power Company,
Mr.Mabvuto Nyirenda,Ndola Energy,
